root@vps-ffff604a:/www/wwwroot/f.snaptik.fit/yt-dlp/yt-dlp-stream# docker compose -f docker-compose.proton.yml logs -f gateway-warp
ytdlp-gateway-warp  | 2026/04/04 08:28:34 initialized 10 workers
ytdlp-gateway-warp  | 2026/04/04 08:28:34 extractor IPC enabled: workers=10
ytdlp-gateway-warp  | 2026/04/04 08:28:34 starting Go gateway on port 9111
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w1] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w2] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w3] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w4] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w5] worker IPC health check error: dial tcp 172.30.0.4:9487: connect: connection refused
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w6] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w7] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w8] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w9] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:39 [w10] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:28:44 [w5] marked healthy after successful probe
ytdlp-gateway-warp  | 2026/04/04 08:29:29 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:29:29 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:29:29 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:29:38 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:29:38 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:29:38 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:29:41 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:29:46 [w3] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:29:46 [w3] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:29:46 [w3] restarting ytdlp-gluetun-3
ytdlp-gateway-warp  | 2026/04/04 08:29:49 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:29:53 [w4] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:29:53 [w4] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:29:53 [w4] restarting ytdlp-gluetun-4
ytdlp-gateway-warp  | 2026/04/04 08:29:57 [w3] restarting ytdlp-stream-3
ytdlp-gateway-warp  | 2026/04/04 08:30:01 [w5] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:30:01 [w5] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:30:01 [w5] restarting ytdlp-gluetun-5
ytdlp-gateway-warp  | 2026/04/04 08:30:04 [w4] restarting ytdlp-stream-4
ytdlp-gateway-warp  | 2026/04/04 08:30:06 [w6] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:30:06 [w6] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:30:06 [w6] restarting ytdlp-gluetun-6
ytdlp-gateway-warp  | 2026/04/04 08:30:12 [w5] restarting ytdlp-stream-5
ytdlp-gateway-warp  | 2026/04/04 08:30:14 [w7] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:30:14 [w7] restart scheduled
